CHỈ TIÊU,Q4/2024,Q3/2024,Q2/2024,Q1/2024,Q4/2023,Q3/2023,Q2/2023,Q1/2023,Q4/2022,Q3/2022,Q2/2022,Q1/2022,Q4/2021,Q3/2021,Q2/2021,Q1/2021,Q4/2020,Q3/2020,Q2/2020,Q1/2020,Q4/2019,Q3/2019,Q2/2019,Q1/2019,Q4/2018,Q3/2018,Q2/2018,Q1/2018,Q4/2017,Q3/2017,Q2/2017,Q1/2017,Q4/2016,Q3/2016,Q2/2016,Q1/2016,Q4/2015,Q3/2015,Q2/2015,Q1/2015
Tổng tài sản,55049061537061,57677080306452,54193954187994,51653869771730,52673371104460,54967436003598,50968781757650,49264785492099,48482664236220,51199903422164,53842175999663,52995528231171,53332403438219,52067759208240,53046669029192,51051210880651,48432480673629,50396457516921,49596809946225,46073727018989,44699873386034,40101852847756,40186475665451,38305261792855,37366108654179,34026431394368,36183530062338,35328719216070,34667318837497,31595714941194,31955032118295,31068544643384,29378656325464,27656720742141,29798001198779,29068835554512,27478175944352,25958969285317,27223661690599,27003064354813
Tăng trưởng Tổng tài sản,0.0451,0.0493,0.0633,0.048499999999999995,0.0864,0.0736,-0.053399999999999996,-0.0704,-0.0909,-0.0167,0.015,0.0381,0.1012,0.0332,0.0696,0.10800000000000001,0.08349999999999999,0.25670000000000004,0.23420000000000002,0.2028,0.1963,0.17859999999999998,0.1106,0.0843,0.07780000000000001,0.07690000000000001,0.1323,0.1371,0.18,0.1424,0.0724,0.0688,0.0692,0.0654,0.0946,0.0765,0.0663,0.0858,0.147,0.1607
Tài sản ngắn hạn,37553650065098,40582371278735,37332761258942,35013917574413,35935879621477,37680161943052,33403479517290,32394853632375,31560382174201,34373292456500,36871285863860,35452395671778,36109910649785,34446542339559,35042535233833,32834546632146,29665725805058,31541319633765,30073376341979,26461638721175,24721565376552,22146344620561,22089274019449,22040432596172,20559756794837,18360115898846,20818678622022,19974838548267,20307434789529,18889319053176,20677934235834,20171593469610,18673827685789,17322793032464,19513524046623,18004264892914,16731875433624,15029826360314,16603153127894,16640748752812
Tăng trưởng tài sản ngắn hạn,0.045,0.077,0.1176,0.0808,0.1386,0.0962,-0.0941,-0.0862,-0.126,-0.0021,0.052199999999999996,0.0797,0.21719999999999998,0.09210000000000002,0.16519999999999999,0.2408,0.2,0.4242,0.3614,0.2006,0.2024,0.20620000000000002,0.061,0.10339999999999999,0.0124,-0.027999999999999997,0.0068000000000000005,-0.0098,0.0875,0.0904,0.059699999999999996,0.1204,0.1161,0.15259999999999999,0.1753,0.0819,0.0779,0.1734,0.205,0.2266
Tài sản dài hạn,17495411471963,17094709027717,16861192929052,16639952197317,16737491482983,17287274060546,17565302240360,16869931859724,16922282062019,16826610965664,16970890135803,17543132559393,17222492788434,17621216868681,18004133795359,18216664248505,18766754868571,18855137883156,19523433604246,19612088297814,19978308009482,17955508227195,18097201646002,16264829196683,16806351859342,15666315495522,15364851440316,15353880667803,14359884047968,12706395888018,11277097882461,10896951173774,10704828639675,10333927709677,10284477152156,11064570661598,10746300510728,10929142925003,10620508562705,10362315602001
Tăng trưởng tài sản dài hạn,0.0453,-0.0111,-0.0401,-0.013600000000000001,-0.0109,0.0274,0.035,-0.0384,-0.0174,-0.0451,-0.0574,-0.037000000000000005,-0.0823,-0.0654,-0.07780000000000001,-0.0712,-0.060599999999999994,0.0501,0.0788,0.20579999999999998,0.1887,0.1461,0.1778,0.0593,0.1704,0.2329,0.3625,0.409,0.3414,0.2296,0.0965,-0.0151,-0.0039000000000000003,-0.0545,-0.0316,0.0678,0.048600000000000004,-0.015300000000000001,0.0667,0.06849999999999999
Nợ ngắn hạn,18459546837640,22021271584074,15403310205136,15294387986523,17138689974862,20399327964197,13742782382772,14407882880499,15308423081524,16983265249980,16644210900330,17607914154548,17068416995519,17766091926204,18127021271173,16532816332955,14212646285475,18164145581085,16681721259498,13314973420207,14442851833360,11924062277981,10816139387760,8816669411270,10639592009462,7381050047407,8862722162878,8441889289285,10195562827092,7089478813206,6712397749306,5534019542094,6457497982894,6370099514142,6316879862995,5760854047953,6004316835213,6183917147643,5431901592093,5227911279864
Tăng trưởng nợ ngắn hạn,0.0771,0.0795,0.1208,0.061500000000000006,0.11960000000000001,0.2011,-0.1743,-0.18170000000000003,-0.10310000000000001,-0.0441,-0.0818,0.065,0.2009,-0.0219,0.0866,0.24170000000000003,-0.0159,0.5233,0.5423,0.5102,0.3575,0.6154999999999999,0.22039999999999998,0.0444,0.0436,0.041100000000000005,0.3204,0.5255,0.5789,0.11289999999999999,0.0626,-0.0394,0.0755,0.0301,0.1629,0.10189999999999999,0.1011,0.2016,0.1746,0.2915
Vay và nợ thuê tài chính ngắn hạn,9115435107250,8291496866090,7794314406895,6616831614710,8217757172267,6873932117860,6128144184250,6889265980740,4867129839103,9405653167691,9701229190460,10942647333716,9382354118118,9038248667322,9481532928054,9247097278828,7316497078307,6423212089774,6189353009901,6149806942796,5351461260191,4188147842196,3272945064774,2126083288960,1060047652329,956294678845,1797452552318,1560293768812,268102046087,219632623984,108173213914,174251757485,1332666200200,1336465403604,1365531072109,1499433453402,1475358507208,1358733604316,872896438045,922783147378
Tăng trưởng vay và nợ thuê tài chính ngắn hạn,0.1092,0.20620000000000002,0.27190000000000003,-0.0395,0.6884,-0.2692,-0.36829999999999996,-0.3704,-0.48119999999999996,0.0406,0.0232,0.1834,0.2824,0.4071,0.5318999999999999,0.5036,0.36719999999999997,0.5337,0.8911,1.8925999999999998,4.0483,3.3796,0.8209000000000001,0.3626,2.9539,3.3541000000000003,15.6164,7.954199999999999,-0.7988,-0.8356999999999999,-0.9208,-0.8837999999999999,-0.0967,-0.016399999999999998,0.5644,0.6249,0.1531,0.0666,12.0623,4.1718
